0.005,447.1
0.01,390.9
0.015,414.7
0.02,413.1
0.025,416.3
0.03,428.3
0.035,421.1
0.04,414.5
0.045,419.6
0.05,389.8
0.055,397.6
0.06,471.5
0.065,440.3
0.07,457.9
0.075,448.3
0.08,462.9
0.085,423.8
0.09,479.1
0.095,473.5
0.1,440.6
0.105,450.2
0.11,469.2
0.115,452.6
0.12,439.1
0.125,477.8
0.13,454.5
0.135,450.5
0.14,443.9
0.145,445.1
0.15,498.5
0.155,447.6
0.16,480.7
0.165,471.6
0.17,440.9
0.175,447.3
0.18,473.3
0.185,452.2
0.19,452.4
0.195,452.0
0.2,449.0
0.205,469.2
0.21,489.1
0.215,480.6
0.22,492.1
0.225,541.1
0.23,486.3
0.235,504.6
0.24,484.0
0.245,503.4
0.25,485.0
0.255,496.4
0.26,492.3
0.265,500.3
0.27,512.7
0.275,495.4
0.28,489.6
0.285,547.0
0.29,500.8
0.295,488.3
0.3,494.9
0.305,502.4
0.31,506.5
0.315,496.3
0.32,489.6
0.325,480.0
0.33,501.8
0.335,500.7
0.34,493.2
0.345,507.3
0.35,496.9
0.355,505.0
0.36,480.2
0.365,500.1
0.37,531.0
0.375,501.4
0.38,487.7
0.385,488.1
0.39,487.7
0.395,507.7
0.4,502.1
